FIlename,Correct,Output of ASR system,Rating
CAR0003_0000,"What brings you in here today? Um yeah, I've just been feeling breathless and it's getting worse. So I wanted to check it out. OK, and when did you first start feeling breathless? About two months ago.",he brings to me just then feeling breathless and is getting worse so i wanted to check it out grierson ruthless over two months ago,2
CAR0002_0158,I do take umm,i do think,1
CAR0001_0036,when you were doing that?,when you're doing that,1
CAR0005_0047,"About the same, OK, and has it gotten more frequent",the same way and as it got more frequent,1
CAR0005_0016,"yeah, I'm I'm just feeling this",yeah i'm just feeling this,0
CAR0002_0171,OK,okay,0
CAR0005_0088,been more stressed out in general,more stress out in general,1
CAR0002_0182,"and within your family, has anyone passed away from",and within your family has any one a term,1
CAR0002_0229,About a half a pack to a pack a day.,well half a pack to parade,2
CAR0004_0009,How would you describe it?,how did describe it,1
CAR0001_0084,"Excellent. Um alright, and could you tell me a little bit about your living situation currently?",excellent but at and could you tell it about your living situation currently,1
CAR0005_0069,OK,right,1
CAR0002_0159,medications for,meditations for,1
CAR0002_0148,OK,okay,0
CAR0001_0086,"uh, yep, that's about it. OK, and uh how do you support yourself financially?",he attitude how do you support yourself financially,1
CAR0001_0071,"No. OK, how about any abdominal pain?",no okay i how about any abdominal pain,1
CAR0002_0248,and how often do you use crystal meth?,and how often do these persons,2
