File,Correct,Vosk,PocketSphinx,Whisper,DeepSpeech2,Wav2Vec2
CAR0001_0071,"No. OK, how about any abdominal pain?",no okay how about any abdominal pain,now this summer and i got nobody that are located,No. Okay. How about any abdominal pain?,no okay i how about any abdominal pain,and now ca ahow about any ebdominable pain
CAR0001_0076,OK,okay,look bad,Okay,okay,oka
CAR0001_0078,no,no,now,No.,no,no
CAR0001_0084,"Excellent. Um alright, and could you tell me a little bit about your living situation currently?",excellence and are great and could you tell me a little bit about your living situation currently,excellent scotland are they the i can get it so they got all about your family situation currently," Excellent. Great. Could you, Tom, be a little bit about your living situation currently?",excellent but at and could you tell it about your living situation currently,excellence am what fans and could you tom be aa a bit about your ouliving situation currently
CAR0001_0086,"uh, yep, that's about it. OK, and uh how do you support yourself financially?",yep that's about it okay and and how do you support yourself financially,it isn't and yet at the at and six so that got him stands out and you support yourself got to enjoy," Yep, that's about it. Okay. Um, and how do you support yourself financially?",he attitude how do you support yourself financially,so n yo at thea edge o care an and a how do you support yourself a financially
CAR0001_0087,Uh I'm an accountant.,ah i'm an accountant,ask how many campaigns,I'm gonna count in.,ah i nicotine,ah i'm a acounten's
CAR0001_0088,OK sounds like a a pretty stressful job,okay sounds like a pretty stressful job,okay sounds again agree stressful job," Okay, sounds like a pretty stressful job",and like a pretty stressful job,o ga satince i gav a pretty stressful job
CAR0001_0092,uh I smoke about a pack a day.,i smoke about a pack a day,hansen look at that backpack and any," Uh, smoke about a pack of day.",smoke about a package,a smoke about a packa day
CAR0001_0094,"For the past ten to fifteen years. OK, and do you smoke cannabis?",for the past ten to fifteen years okay and do you smoke cannabis,an france has ten to fifteen years for granted and his book the art of us," For the past 10 to 15 years. Okay, and do you smoke cannabis?",from a past ten to fifteen years oarsman is,for the past ten to fifteen years loka and doyou smoke like cadabas
CAR0001_0107,"So has anything like this happened in your family before?

P: No. 

D: OK, has anybody in the family had a heart attack before?",so as anything like this has happened in your family before now okay as anybody in the family had a heart attack before,sold it as anything like this activity or family before but now look at it as anybody in the family had a heart attack before," So has anything like this happened in your family before? No Okay, has anybody in the family had a heart attack before?",so as anything like this happened in your family before now okay as anybody in the family had a heart attack before,so has anything like this happened in your family before now o ka as anybody in the family had a hard attack before
CAR0002_0005,"OK, and where is the pain exactly?",okay and where is the pain exactly,and and well worth it and the a," Okay, and where is the pain exactly?",well where is the king to,and wy where is the pain exacle
CAR0002_0006,it's just right  over on the on the left side,it's his radio over on thy on the left side,this is real run by all like sign,and just radio over on the left side.,and so redolent of the left side,cirato over on thy on the left side
CAR0002_0011,okay and,the uk and,you can print," Okay, end.",and,look and
CAR0002_0018,and,and,and,and,and,and
CAR0002_0025,sorry yeah the pain has been there this whole time and it's gotten worse ever since it started ok,sorry yeah the pain has been there this whole time and it's gotten worse i have ever since it started ok,say yeah that is to know the school taught us are more seat i've never says it started smoking," Sorry, yeah, the paint has been there this whole time and it's gotten worse ever since it started. Okay.",ah the pain has been there the full time and it's gotten worse ever since i started on,si yet the pad has been there this wholl time and it's gotten worse iave ever since it started ocet
CAR0002_0026,and how would you describe the pain? Is it kind of like an aching pain or is it a sharp or tight tightness kind of pain? How would you describe it? ,and how would you describe the pain is that kind of like an aching pain or is that a sharp or tight tightness hennepin how would you describe it,and how to describe the content and parliament and eating enough reason to shore or a tightness her in our guess is current,And how would you describe the pain? Is it kind of like an aching pain or is it a sharp or tightness kind of pain? How would you describe it?,and how would you describe the pannikin panorama or tight tight and often a dodderin,and how'd you describe the pain as it tino live an aching pain or the sharp or tight tightenous hanopine ow you describe it
CAR0002_0027,It feels dull. I feel like there's,if yours die i feel like there's,it fills dollars electors," It feels dull, I feel like thers.",i do feel like this,it feels doll i feel like thirst
CAR0002_0042,no I'm kinda just feel it here on the left side,no i'm kinda just feeling it re here on the left side,doggone it is really serious your lives on," No, I'm kind of just feeling it right here on the left side",no i congealing rather on the left side,though onconiga's feeling at rat here on the left side
CAR0002_0045,or like get better,where can i get better,hardly get better,Or like get better.,better,for migt get better
CAR0002_0049,it made it a bit worse but,it made it a bit worse but to add,it made it worse by side,It made it a bit worse but uh...,made it a awards,it made it a big worse by ta
CAR0002_0050,nothing has seemed to make it any better since it starting.,nothing has seemed to make it any better since starting,nothing seemed to make it any better since it started,Dawthing has seemed to make you any better since it's starting.,it seemed to make it any better since the starting,dorthins seemed to make him any better since the starting
CAR0002_0058,okay,okay,any,Okay.,a,oquery
CAR0002_0067,"short of breath or having difficulty breathing since yesterday when the sorry since the pain started, but uh just the difficulty breathing.",short of breath or having difficulty breathing since yesterday when the pay arts sorry since the pain started,for a grant are having difficulty i agree it since yesterday one of the car he shares is restarted,short of breath or having difficulty breathing since yesterday when the strike starts!,short of breath were having difficulty in breathing since yesterday when the pit are seen the man started,short o breath or having difficulty at breathing since yesterday when the prsharsince the pain started
CAR0002_0078,but,but,but,But,but,bu
CAR0002_0084,OK so but the pain just started half an hour ago?,okay so the change just started half an hour ago,hackers and did eastern half an hour or two," Okay, so but the pain just started hopping out of the room.",but the taste talking,oces but the pain to started hop in anbor
CAR0002_0096,no,no,no,No.,no,no
CAR0002_0100,,,good,Thank you.,he,i
CAR0002_0101,"No nausea or vomiting, but",i know but nausea or vomiting but,and noble and azerbaijan in quiet," no progress 좋아하, vomiting but",no nauseating but,i'm no noger vomiting but
CAR0002_0110,uh thirty eight degrees,at thirty eight degrees,a thirty eight degrees,38 degrees.,the degrees,a thirty eight degrees
CAR0002_0114,uh have you been having any kind of swelling in your legs or feet?,have you been having a any tenth swelling in your legs or feet,are there even adding at any time is calling her legs are you,Have you been having any kind of swelling in your legs or feet?,have you been to having any kind of walling in your life your feet,ah have you been having aany kind of swalling in your legs or feet
CAR0002_0126,Have you been having any kind of thumping or palpitations or feel like your heart has been racing at all?,or have you been having any kind of stumping or palpitations or feel like your heart has been racing at all,i even had any kind of dumping work on conditions or feel and her husband received a call,Have you been having any kind of thumping or poppations or feel like your heart has been racing at all?,have you been having any kind of thing position or feel like your hearthstone,have you ven having any kind of thumping or popitations or feel like your heart husband racing at all
CAR0002_0129,uhh it does feel like it's beating faster right now. It usually only feels like this when I'm playing sports. ,and it does feel like it's beating faster and out usually only feels like this when i'm playing sports,it's gotten it is related to the bastard i usually always feels like this wound up big sports,It does feel like it's beating faster right now. Usually it only feels like this when I'm playing sports.,it does feel like it's batiste and now usually only feel like this when i'm playing sports,an it does reel like its beating faster and out usually only feels like this when i'm i plank sports
CAR0002_0140,"a little runny, but that went away on its own.",oliver around the reply to that went away on it's own,lenore romney's it but it still at about one away on it's often,all of our money but uh... that went away on its own,robin away on its own,alli varandi pit a that went away on it all and
CAR0002_0148,OK,okay,the who,Okay.,okay,poe
CAR0002_0151,high blood pressure,high blood pressure,read literature,High blood pressure,a bookcase,i brought pressure
CAR0002_0158,I do take umm,i do take em,i've used it i am," I do think, um,",i do think,i do think yam
CAR0002_0159,medications for,medications for,nike shoes for,medications for,meditations for,metications for
CAR0002_0161,uh both blood pressure and cholesterol,i both blood pressure and cholesterol,on both blood pressure and cholesterol,both blood pressure and cholesterol,both by pressure and cholesterol,ah both blood pressere and colesterall
CAR0002_0163,Rosuvastatin and,i received a satin and,i agree to the sound and,uh... resubistatin and,resumed and,i resue i satin and
CAR0002_0169,a multivitamin,a multi vitamin,and cobalt in women,uh... a multi-vitamin,a multi vitamin,a a multy biteman
CAR0002_0171,OK,okay,look at,Okay.,okay,poge
CAR0002_0177,have you at all in the past been hospitalized for any reason,have you ah at all in the past been hospitalized for any reason,the u a barrel nut house because the law is pretty good,Have you at all in the past been hospitalized for any reason?,have you at all in the past in contained person,have you at all in the pas bing hospitalized for any reason
CAR0002_0178,No hospitalizations.,no os positions,no authorizes friends,No hospitalizations.,no aspiration,no osplizations
CAR0002_0179,any previous surgeries,any previous surgeries,angry resurgence,Any previous surgeries?,any previous surgery,any previous surgeries
CAR0002_0182,"and within your family, has anyone passed away from",and within your family has anyone passed away from,including your family has not feeling it has really firm,and within your family has anyone that passed away from,and within your family has any one a term,and within your family has a any one passed away from
CAR0002_0198,my parents,my parents,our friends,My parents.,my pen,my parent
CAR0002_0218,"fairly balanced overall, I might",fairly balanced overall i might add,fairly balanced overall i might add,fairly balanced overall I might...,fairly balanced over all i might,fairly balanced over all i might at
CAR0002_0221,"eat out a little bit too often, but try to eat as many vegetables as I can.",eat out a little bit too often but i try to eat as many vegetables as i can,you know of it's you op didn't buy it on the news any vegetables and on,eat out a little bit too often but try to eat as many vegetables as I can.,a little bit too often but try to eat as many vegetables as i can,eat out a o it too often but i try to eat as many vegetables as i can
CAR0002_0229,About a half a pack to a pack a day.,but a half a pack to a pack a day,don't assume that you targeted,Brutal half a pack to your pack of days.,well half a pack to parade,better half a pack to your packe day
CAR0002_0233,uh no alcohol,a no alcohol,i know all,I know alcohol.,no alcohol,iy no alcohol
CAR0002_0241,but i have used crystal meth in the past,but i have used crystal meth in the past,why i use the art is about the ass,but I have used crystal meth in the past.,i have used a crystal bath of the past,but i have used a crystal meth of the past
CAR0002_0248,and how often do you use crystal meth?,and how often do you use for sunlight,in all things were some work,And how often do you use crystal mud?,and how often do these persons,and how often dees cristelmont
CAR0002_0252,I would say a,it's if you,present as you,I would say a few.,i,would tay it if you
CAR0002_0253,a couple of times a month,a couple of times a month,and looks as it was,A couple of times a month.,a couple of times a month,a couple of times a month
CAR0002_0254,a couple times a month okay,with a pencil okay,we're currently order," Up to the Central nodes, OK.",some,ofo fendemon or gat
CAR0003_0000,"What brings you in here today? Um yeah, I've just been feeling breathless and it's getting worse. So I wanted to check it out. OK, and when did you first start feeling breathless? About two months ago.",what brings you in here today yeah i've just been feeling breathless and it's getting worse so i wanted to check it out okay and when did you first start feeling restless about two months ago,what brings you new to work on how he acts than feeling not not press elias then it's getting worse fellow not in a check it out and read into the universe or the winter was an odd two months ago," What brings you in here today? Um, yeah, I've just been feeling breathless and it's getting worse. So I wanted to check it out. Okay, and when did you first start feeling breathless? About two months ago.",he brings to me just then feeling breathless and is getting worse so i wanted to check it out grierson ruthless over two months ago,what brings you in here to thet uh you have just been feeling ah breathless and its getting worse so i wanted to check it out you can and when did you a first start peeling breathwas about two months ago
CAR0003_0002,come on about like gradually through time or suddenly just happened?,come run about like gradually through time or suddenly just happen,i told one and only gradually to italian or or are suddenly discover,come on about like gradually through time or suddenly just happened.,unable gradually through time were severely just to,hom onaboat like gradually through time wor a suddenly jus happen
CAR0003_0004,"um I guess gradually, yeah.",i guess gradually yeah,i'm looking at the end it's actually yeah," Mmm, I guess gradually, yeah.",i guess gradually,and i guess gradually he anned
CAR0003_0009,"I'd say it's worse when I when I walk more than fifty meters. That's kind of the main like that's kind of the main trigger, just exertion. OK, and were you able to walk normally more than fifty meters",hmm i'd say it's worse when i when i walk more than fifty metres and that's kind of maintenance but that's kind of the main trigger to exertion and were you able to walk around normally more than fifty metres,unless i say it's worth i thought i walk more than eight years and ask how many did not ask an ancient era test a session in the realtor walker and your rain when thirteen years," I'd say it's worse when I walk more than 50 meters. That's kind of the main trigger, just exertion. And were you able to walk normally in more than 50 meters?",oh i say worth when i when i walk more than fifty meters that's canaanites come man trituration and were you able to walk on normally more than fifty meters,u i say it's worse when i when i walk more than fifty meters am lots connament the laskana the main tricker just exertion and were you able to walk con normally more than fifty meters
CAR0003_0015,um producing like sputum or phlegm?,currently producing like spewed and more flam,i'm the reason or exterior worth one," kind of producing like Spudon, North Lem.",producing expedition,co producing like putom orflam
CAR0003_0016,"yeah, I guess I'd say I have this frothy sputum",yeah i guess i'd say i have this frothy sputum,yeah i guess and say and as for ah the pm," Yeah, I guess I'd say I can have this frothy, spewn.",yeah i guess i am said rose but,ye i guess i'd say i have this frothy spewdum
CAR0003_0020,ah i would say so yes,i would say so yes,added say so yes," I would say so, yes.",i would say so yes,ah i would say so yes
CAR0003_0022,"and you mentioned like exertion makes it worse, but anything else like going outside",and you mentioned like exertion makes it worse but anything else like going outside,you mention lights exertion except worse than anything at all slater ergo real sorry," And you mentioned like exertion makes it worse, but anything else like going outside.",and you mentioned like exertion makes it worse but anything else like going outside,and you mention like exertion makes it worse but anything else like a going outside
CAR0003_0027,okay,okay,okay,Okay.,a,propane
CAR0003_0030,and,and,there's a,Kel.,and,hand
CAR0003_0034,"sore throat, runny nose, uh",i saw the runny nose,so ingrained runny nose on," Exactly, letting you know",so trains,so throw brunny nose a
CAR0003_0046,what they did for your heart attack,what they did for your heart attack,what they did for your heart attack,What they did for your heart attack?,what they did for your heart attack,what they did for your herd attack
CAR0004_0000,"P: I'm just having this really sharp pain in my chest and I'm scared. I think I'm having a heart attack.

D: Oh wow, yeah um that must be really scary.",what brings you here today as having this really sharp pain in my chest and i'm scared i think i'm having a heart attack a while from you and i must be really scary,it brings you to do it asked how he knew how that billy shark meat when i cast and i'm scared i think i'm having a heart attack was on there and you really scary," What brings you here today? I'm just having this really sharp bean in my chest and I'm scared. I think I'm having a heart attack. Oh wow, I'm, you know, that must be really scary.",in outdoing the really for being in my just and scared i think i'm having a heart to doubt alone feretory,what brings you here to dit ift having this rilly sharp bain in my chest and i'm scared i think i'm having a heart attack ah well om ah you i must be really scarry
CAR0004_0002,when did this pain start,when did the pain start,when is the star,when did this pain start?,this pain start,when do this pain start
CAR0004_0009,How would you describe it?,how would you describe it,are you describe it,How would you describe it?,how did describe it,hardy describe it
CAR0004_0022,okay and where are you a student,you can endure where are you a student,the king and there were used in it," Okay, and where are you, a student?",and where are you a student,cenda where are you a student
CAR0004_0024,uh I'm studying engineering at Western. Alright.,i'm studying engineering at western very,yes i'm studying engineering at last we hear her,I'm studying engineering at Western. I'm at it.,and fitting into nearing a westerner,ah i'm studying an gineering at western rrit
CAR0005_0000,it sounds like uh,it sounds like a,i found quite a cat,It sounds like...,sounds like a,t found flake ab
CAR0005_0001,that you're experiencing some chest pain,that you're experiencing some chatting,that meant their instinct and i think,that you're experiencing some testing.,at your experiencing some jesting,t at your experiencings them jothing
CAR0005_0002,yeah so,yeah so,yeah it's own time," Yeah, so",yes so,yes o am
CAR0005_0009,So two weeks,so two weeks,not to read," So, two weeks.",so two weeks,though two leaks
CAR0005_0010,uh,a,a time,Dad.,ah,ah
CAR0005_0016,"yeah, I'm I'm just feeling this",yeah i'm just feeling this and,yeah i'm i'm stealing this time," Yeah, I'm just feeling this.",yeah i'm just feeling this,y i jus feeling this and
CAR0005_0026,"Yeah, I just feel it in that one spot on the left side",yeah i just feel that in that one spot on the left side,yeah it is good at once bottle of cider," Yeah, I just feel it in that one spot on the left side.",yeah i just feel that i at once bought on the left side,yet i just feel it in at one spot on the left side
CAR0005_0027,OK uh does it feel,okay or does it feel,i i get it below," Okay, uh, does it feel?",right ah does it feel,ah does it feel
CAR0005_0047,"About the same, OK, and has it gotten more frequent",at the same okay and has it gotten more frequent,an candidate on like reagan," the same. Okay, and it got more frequent.",the same way and as it got more frequent,the same moqe and has it gotten more frequent
CAR0005_0069,OK,okay,and,Okay.,right,pa
CAR0005_0072,can you think of anything that uh,it can you think of anything that ah,beat any team that i,Can you think of anything that are...,think of anything that,you think of anything that i
CAR0005_0078,I don't know I've,i dunno i,that'll let him,I don't know...,i don't know,i no o i
CAR0005_0079,separated from,but separated from,when separated from,separated from,but separated from,that separated from
CAR0005_0084,to my health or,to my health or,so why all over the mountains,to my health or um,my how were,to my houth for an
CAR0005_0088,been more stressed out in general,in more stressed out in general,a large truck bed and general,been more stressed out in general.,more stress out in general,been more stretched out in general
CAR0005_0095,a lot more stressful becuase of the uh,a lot more stressful because of their ah,lot more stressful because of that data,a lot more stressful because of the...,a lot more stressful because of the,a lot more stressful because of the ah
CAR0005_0096,those issues in my personal life,those issues in my personal life,those issues of a person like,those issues in my personal life.,in my personal life,tose issues in my personal life
CAR0005_0105,I've tried uh,i have tried add,i've tried to sue yeah it,I've tried... Died. Whose...?,i,i'e tried i ad
CAR0005_0126,do you have any chronic conditions that you see your family doctor for,and do you have any chronic conditions that you see your family doctor for,and you have any kind in the country be a family doctor or,Do you have any chronic conditions that you see or family doctor for?,do you have any product conditions that you see your family doctor for,and do you have any chronic conditions that you see your family doctor ford
CAR0005_0130,no um,no,no because,No.,no,no m
CAR0005_0131,previously healthy,in previously healthy,producing all the,and previously healthy.,previously healthy,and previously healthy
CAR0005_0138,no,no,no,No.,no,no
